PMID,Title,Publication Date,Non-Academic Authors,Corresponding Author Email
40040813,Targeting FAK improves the tumor uptake of antibody-drug conjugates to strengthen the anti-cancer responses.,2025,"Baoyuan Zhang (InxMed (Shanghai) Co., Ltd., Shanghai, China.); Jiaming Gao (InxMed (Shanghai) Co., Ltd., Shanghai, China.); Shiqiang Lu (InxMed (Shanghai) Co., Ltd., Shanghai, China.); Ran Pang (InxMed (Shanghai) Co., Ltd., Shanghai, China.); Natasha Qin (InxMed (Shanghai) Co., Ltd., Shanghai, China.); Leo Liu (InxMed (Shanghai) Co., Ltd., Shanghai, China.); Zaiqi Wang (InxMed (Shanghai) Co., Ltd., Shanghai, China.)",Not Available
40038780,Anti-TGF-β/PD-L1 bispecific antibody synergizes with radiotherapy to enhance antitumor immunity and mitigate radiation-induced pulmonary fibrosis.,2025,"Jing Zhang (Wuhan YZY Biopharma Co., Ltd., Biolake, C2-1, No.666 Gaoxin Road, Wuhan, 430075, China.); Pengfei Zhou (Wuhan YZY Biopharma Co., Ltd., Biolake, C2-1, No.666 Gaoxin Road, Wuhan, 430075, China.)",Not Available
40038413,Targeted degradation of CDK4/6 by LA-CB1 inhibits EMT and suppresses tumor growth in orthotopic breast cancer.,2025,"Jingliang He (Jiangsu Key Laboratory of Marine Pharmaceutical Compound Screening, College of Pharmacy, Jiangsu Ocean University, Lianyungang, 222005, China.); Siyi Zhang (Jiangsu Key Laboratory of Marine Pharmaceutical Compound Screening, College of Pharmacy, Jiangsu Ocean University, Lianyungang, 222005, China.); Qi Gao (Jiangsu Key Laboratory of Marine Pharmaceutical Compound Screening, College of Pharmacy, Jiangsu Ocean University, Lianyungang, 222005, China.); Lan Zhu (Cancer Center and Department of Pharmacology and Toxicology, Medical College of Wisconsin, Milwaukee, WI, 53226, USA.); Ningyang Xu (Cancer Center and Department of Pharmacology and Toxicology, Medical College of Wisconsin, Milwaukee, WI, 53226, USA.); Zhongke Hu (Jiangsu Key Laboratory of Marine Pharmaceutical Compound Screening, College of Pharmacy, Jiangsu Ocean University, Lianyungang, 222005, China.); Xingyu Zhang (Jiangsu Key Laboratory of Marine Pharmaceutical Compound Screening, College of Pharmacy, Jiangsu Ocean University, Lianyungang, 222005, China.); Shaojie Ma (Jiangsu Key Laboratory of Marine Pharmaceutical Compound Screening, College of Pharmacy, Jiangsu Ocean University, Lianyungang, 222005, China.); Xiujun Wang (Jiangsu Key Laboratory of Marine Pharmaceutical Compound Screening, College of Pharmacy, Jiangsu Ocean University, Lianyungang, 222005, China.); Bin Liu (Jiangsu Key Laboratory of Marine Pharmaceutical Compound Screening, College of Pharmacy, Jiangsu Ocean University, Lianyungang, 222005, China. liubin@jou.edu.cn.); Wei Liu (Cancer Center and Department of Pharmacology and Toxicology, Medical College of Wisconsin, Milwaukee, WI, 53226, USA. weiliu@mcw.edu.)",Not Available
40038300,Inhibition of the STAT3/Fanconi anemia axis is synthetic lethal with PARP inhibition in breast cancer.,2025,"Eddy Pasquier (CRCM, INSERM, CNRS, Institut Paoli-Calmettes, Aix-Marseille University, Reverse Molecular Pharmacology in Pediatric Oncology, Marseille, France.)",Not Available
40038250,Circulating mitochondrial DNA promotes M2 polarization of tumor associated macrophages and HCC resistance to sorafenib.,2025,"Qi Yang (School of Life Sciences, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Mengmeng Cui (Laboratory of Cancer Biomarkers and Liquid Biopsy, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Jiaxin Wang (Laboratory of Cancer Biomarkers and Liquid Biopsy, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Yuan Zhao (School of Life Sciences, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Weitao Yin (School of Life Sciences, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Ziqian Liao (Laboratory of Cancer Biomarkers and Liquid Biopsy, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Yixuan Liang (Laboratory of Cancer Biomarkers and Liquid Biopsy, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Zhixiong Jiang (Laboratory of Cancer Biomarkers and Liquid Biopsy, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Yujia Li (School of Life Sciences, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Jinrong Guo (School of Life Sciences, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Lixia Qi (Laboratory of Cancer Biomarkers and Liquid Biopsy, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Jiaxing Chen (Laboratory of Cancer Biomarkers and Liquid Biopsy, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Jing Zhao (School of Life Sciences, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China.); Dengke Bao (School of Life Sciences, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China. bdkmydy12004@126.com.); Zhi-Xiang Xu (School of Life Sciences, School of Pharmacy, Henan University, Kaifeng, Henan, 475004, China. zhixiangxu08@gmail.com.)",Not Available
40038236,High baseline levels of PD-L1 reduce the heterogeneity of immune checkpoint signature and sensitize anti-PD1 therapy in lung and colorectal cancers.,2025,"Peng Fan (National Center of Technology Innovation for Biopharmaceuticals, Suzhou Biomedical Industry Innovation Center, Suzhou, China.); Jiajie Kuai (Institute of Clinical Pharmacology, Key Laboratory of Anti-Inflammatory and Immune Medicine, Ministry of Education, Anhui Collaborative Innovation Center of Anti-inflammatory and Immune Medicine, Anhui Medical University, Hefei, China.); Wei Xu (New Drug Biology and Translational Medicine, Innovent Biologics Inc., Suzhou, China.); Yuhui Huang (National Center of Technology Innovation for Biopharmaceuticals, Suzhou Biomedical Industry Innovation Center, Suzhou, China. huangyh@suda.edu.cn.)",Not Available
40037887,Super Methotrexate-resistant Osteosarcoma Cells Retain Their Sensitivity to Recombinant Methioninase: Targeting Methionine Addiction to Overcome Extreme Cancer-Chemotherapy Resistance.,2025,"Yusuke Aoki (AntiCancer Inc, San Diego, CA, U.S.A.; yaoki0630@gmail.com.); Qinghong Han (AntiCancer Inc, San Diego, CA, U.S.A.); Yutaro Kubota (AntiCancer Inc, San Diego, CA, U.S.A.); Noriyuki Masaki (AntiCancer Inc, San Diego, CA, U.S.A.); Michael Bouvet (Department of Surgery, University of California, San Diego, La Jolla, CA, U.S.A.); Robert M Hoffman (AntiCancer Inc, San Diego, CA, U.S.A.; all@anticancer.com.)",Not Available
40037884,"NEAT1 in Ovarian Cancer: A Key Regulator of Tumor Progression, Follicular Fluid Dynamics, and Therapeutic Resistance.",2025,"Luiza Dias (Department of Biology, College of Arts and Sciences, Appalachian State University, Boone, NC, U.S.A.); Chi-Wei Chen (Department of Biology, College of Arts and Sciences, Appalachian State University, Boone, NC, U.S.A.)",Not Available
40037502,Advancing Glioblastoma Therapy: Learning From the Past and Innovations for the Future.,2025,"Mandeep Rana (School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei 110, Taiwan.); Ke-Chi Liou (School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei 110, Taiwan.); Amandeep Thakur (School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei 110, Taiwan.); Kunal Nepali (School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei 110, Taiwan; TMU Research Center for Drug Discovery, Taipei Medical University, Taipei 110, Taiwan; Ph.D. Program in Drug Discovery and Development Industry, College of Pharmacy, Taipei Medical University, Taipei 110, Taiwan. Electronic address: nepali@tmu.edu.tw.); Jing-Ping Liou (School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei 110, Taiwan; TMU Research Center for Drug Discovery, Taipei Medical University, Taipei 110, Taiwan; Ph.D. Program in Drug Discovery and Development Industry, College of Pharmacy, Taipei Medical University, Taipei 110, Taiwan. Electronic address: jpl@tmu.edu.tw.)",Not Available
40037361,Realigned transsulfuration drives BRAF-V600E-targeted therapy resistance in melanoma.,2025,"Mihály Cserepes (Department of Experimental Pharmacology and the National Tumor Biology Laboratory, National Institute of Oncology, Budapest, 1122, Hungary.); József Tóvári (Department of Experimental Pharmacology and the National Tumor Biology Laboratory, National Institute of Oncology, Budapest, 1122, Hungary.)",Not Available
